timestamp,Tf_in,Tf_out,m_flow,Tf_out_sim,residual
2020-10-09 18:00:00,13.406104433386927,13.406104433386927,0.0,13.47488630169927,0.06878186831234245
2020-10-09 19:00:00,13.404453342198112,13.404453342198112,0.0,13.473059598601635,0.06860625640352325
2020-10-09 20:00:00,13.402809545492346,13.402809545492346,0.0,13.471240685484322,0.0684311399919757
2020-10-09 21:00:00,13.401172985388916,13.401172985388916,0.0,13.469429502209259,0.06825651682034284
2020-10-09 22:00:00,13.399543604816577,13.399543604816577,0.0,13.467625989457904,0.06808238464132721
2020-10-09 23:00:00,13.397921347495878,13.397921347495878,0.0,13.465830088712817,0.06790874121693946
2020-10-10 00:00:00,13.396306157921869,13.396306157921869,0.0,13.464041742239637,0.06773558431776827
2020-10-10 01:00:00,13.394697981347138,13.394697981347138,0.0,13.462260893069459,0.06756291172232132
2020-10-10 02:00:00,13.393096763765229,13.393096763765229,0.0,13.460487484981625,0.06739072121639644
2020-10-10 03:00:00,13.39150245189438,13.39150245189438,0.0,13.45872146248688,0.06721901059249902
2020-10-10 04:00:00,13.389914993161652,13.389914993161652,0.0,13.456962770810945,0.06704777764929304
2020-10-10 05:00:00,13.38833433568738,13.38833433568738,0.0,13.455211355878465,0.06687702019108421
2020-10-10 06:00:00,13.386760428269955,13.386760428269955,0.0,13.453467164297347,0.06670673602739186
2020-10-10 07:00:00,13.385193220371,13.385193220371,0.0,13.45173014334346,0.06653692297245861
2020-10-10 08:00:00,13.383632662100808,13.383632662100808,0.0,13.450000240945727,0.06636757884491828
2020-10-10 09:00:00,13.38207870420419,13.38207870420419,0.0,13.448277405671577,0.06619870146738727
2020-10-10 10:00:00,13.3805312980466,13.3805312980466,0.0,13.446561586712763,0.06603028866616256
2020-10-10 11:00:00,13.37899039560061,13.37899039560061,0.0,13.444852733871532,0.06586233827092158
2020-10-10 12:00:00,13.3774559494327,13.3774559494327,0.0,13.443150797547153,0.06569484811445214
2020-10-10 13:00:00,13.375927912690372,13.375927912690372,0.0,13.441455728722799,0.06552781603242686
2020-10-10 14:00:00,13.374406239089565,13.374406239089565,0.0,13.439767478952756,0.06536123986319176
2020-10-10 15:00:00,13.372890882902396,13.372890882902396,0.0,13.438086000349983,0.06519511744758688
2020-10-10 16:00:00,13.371381798945194,13.371381798945194,0.0,13.43641124557399,0.06502944662879528
2020-10-10 17:00:00,13.36987894256684,13.36987894256684,0.0,13.434743167819054,0.06486422525221336
2020-10-10 18:00:00,13.368382269637394,13.368382269637394,0.0,13.433081720802743,0.06469945116534959
2020-10-10 19:00:00,13.36689173653702,13.36689173653702,0.0,13.43142685875476,0.06453512221773927
2020-10-10 20:00:00,13.365407300145195,13.365407300145195,0.0,13.429778536406086,0.06437123626089125
2020-10-10 21:00:00,13.363928917830211,13.363928917830211,0.0,13.428136708978437,0.06420779114822572
2020-10-10 22:00:00,13.362456547438914,13.362456547438914,0.0,13.426501332174002,0.06404478473508846
2020-10-10 23:00:00,13.360990147286758,13.360990147286758,0.0,13.42487236216548,0.06388221487872237
2020-10-11 00:00:00,13.359529676148108,13.359529676148108,0.0,13.423249755586394,0.06372007943828528
2020-10-11 01:00:00,13.358075093246786,13.358075093246786,0.0,13.421633469521684,0.06355837627489791
2020-10-11 02:00:00,13.356626358246912,13.356626358246912,0.0,13.420023461498577,0.06339710325166514
2020-10-11 03:00:00,13.355183431243956,13.355183431243956,0.0,13.418419689477702,0.06323625823374535
2020-10-11 04:00:00,13.353746272756046,13.353746272756046,0.0,13.416822111844494,0.06307583908844805
2020-10-11 05:00:00,13.352314843715542,13.352314843715542,0.0,13.415230687400824,0.06291584368528191
2020-10-11 06:00:00,13.350889105460809,13.350889105460809,0.0,13.413645375356882,0.06275626989607375
2020-10-11 07:00:00,13.349469019728236,13.349469019728236,0.0,13.41206613532332,0.06259711559508396
2020-10-11 08:00:00,13.3480545486445,13.3480545486445,0.0,13.410492927303599,0.06243837865909896
2020-10-11 09:00:00,13.346645654718998,13.346645654718998,0.0,13.408925711686589,0.06228005696759098
2020-10-11 10:00:00,13.345242300836553,13.345242300836553,0.0,13.40736444923938,0.06212214840282648
2020-10-11 11:00:00,13.34384445025029,13.34384445025029,0.0,13.405809101100319,0.06196465085002956
2020-10-11 12:00:00,13.342452066574737,13.342452066574737,0.0,13.404259628772254,0.06180756219751693
2020-10-11 13:00:00,13.341065113779106,13.341065113779106,0.0,13.402715994115978,0.06165088033687205
2020-10-11 14:00:00,13.339683556180804,13.339683556180804,0.0,13.401178159343893,0.06149460316308897
2020-10-11 15:00:00,13.338307358439096,13.338307358439096,0.0,13.39964608701385,0.06133872857475353
2020-10-11 16:00:00,13.336936485548971,13.336936485548971,0.0,13.398119740023184,0.061183254474212134
2020-10-11 17:00:00,13.3355709028352,13.3355709028352,0.0,13.39659908160294,0.06102817876774047
2020-10-11 18:00:00,13.334210575946551,13.334210575946551,0.0,13.395084075312278,0.0608734993657265
2020-10-11 19:00:00,13.33285547085018,13.33285547085018,0.0,13.393574685033043,0.0607192141828623
2020-10-11 20:00:00,13.3315055538262,13.3315055538262,0.0,13.39207087496451,0.06056532113830926
2020-10-11 21:00:00,13.330160791462404,13.330160791462404,0.0,13.390572609618298,0.06041181815589347
