timestamp,Tf_in,Tf_out,m_flow,q_b
2020-01-01 00:00:00,7.263336821365865,9.263336821365863,0.5208133736858312,30.0
2020-01-01 01:00:00,6.638431162868734,8.638431162868734,0.5208133736858312,30.0
2020-01-01 02:00:00,6.227164450373433,8.227164450373433,0.5208133736858312,30.0
2020-01-01 03:00:00,5.9199208658691305,7.9199208658691305,0.5208133736858312,30.0
2020-01-01 04:00:00,5.676238457761638,7.676238457761638,0.5208133736858312,30.0
2020-01-01 05:00:00,5.488639510663024,7.488639510663022,0.5208133736858312,30.0
2020-01-01 06:00:00,5.323729332171673,7.3237293321716725,0.5208133736858312,30.0
2020-01-01 07:00:00,5.176931622937127,7.176931622937127,0.5208133736858312,30.0
2020-01-01 08:00:00,5.044918383990186,7.044918383990186,0.5208133736858312,30.0
2020-01-01 09:00:00,4.925153683595957,6.925153683595957,0.5208133736858312,30.0
2020-01-01 10:00:00,4.815805541025227,6.815805541025227,0.5208133736858312,30.0
2020-01-01 11:00:00,4.715505246971549,6.715505246971549,0.5208133736858312,30.0
2020-01-01 12:00:00,4.623131756786826,6.623131756786826,0.5208133736858312,30.0
2020-01-01 13:00:00,4.537696411258835,6.537696411258835,0.5208133736858312,30.0
2020-01-01 14:00:00,4.458306437072615,6.458306437072614,0.5208133736858312,30.0
2020-01-01 15:00:00,4.384165032528664,6.384165032528664,0.5208133736858312,30.0
2020-01-01 16:00:00,4.31457868266628,6.31457868266628,0.5208133736858312,30.0
2020-01-01 17:00:00,4.248958913598136,6.248958913598135,0.5208133736858312,30.0
2020-01-01 18:00:00,4.1868162680609515,6.1868162680609515,0.5208133736858312,30.0
2020-01-01 19:00:00,4.127748774424923,6.127748774424923,0.5208133736858312,30.0
2020-01-01 20:00:00,4.071428020481477,6.071428020481477,0.5208133736858312,30.0
2020-01-01 21:00:00,4.017585248662044,6.017585248662043,0.5208133736858312,30.0
2020-01-01 22:00:00,3.965998876204495,5.965998876204495,0.5208133736858312,30.0
2020-01-01 23:00:00,3.9164840196833297,5.916484019683329,0.5208133736858312,30.0
2020-01-02 00:00:00,3.8688840831327753,5.868884083132774,0.5208133736858312,30.0
2020-01-02 01:00:00,3.823064204234472,5.823064204234472,0.5208133736858312,30.0
2020-01-02 02:00:00,3.778906255765794,5.778906255765793,0.5208133736858312,30.0
2020-01-02 03:00:00,3.7363050937471036,5.736305093747103,0.5208133736858312,30.0
2020-01-02 04:00:00,3.695165778582521,5.6951657785825205,0.5208133736858312,30.0
2020-01-02 05:00:00,3.6554015422569184,5.655401542256918,0.5208133736858312,30.0
2020-01-02 06:00:00,3.6169323197479675,5.616932319747967,0.5208133736858312,30.0
2020-01-02 07:00:00,3.5796837013305196,5.579683701330519,0.5208133736858312,30.0
2020-01-02 08:00:00,3.543586193710913,5.5435861937109125,0.5208133736858312,30.0
2020-01-02 09:00:00,3.50857470288151,5.50857470288151,0.5208133736858312,30.0
2020-01-02 10:00:00,3.4745881715230147,5.474588171523015,0.5208133736858312,30.0
2020-01-02 11:00:00,3.4415693198240525,5.441569319824053,0.5208133736858312,30.0
2020-01-02 12:00:00,3.409464451560281,5.4094644515602806,0.5208133736858312,30.0
2020-01-02 13:00:00,3.3782232977511923,5.378223297751192,0.5208133736858312,30.0
2020-01-02 14:00:00,3.347798878593682,5.347798878593681,0.5208133736858312,30.0
2020-01-02 15:00:00,3.318147370961374,5.318147370961373,0.5208133736858312,30.0
2020-01-02 16:00:00,3.289227973813024,5.2892279738130235,0.5208133736858312,30.0
2020-01-02 17:00:00,3.2610027676045594,5.261002767604559,0.5208133736858312,30.0
2020-01-02 18:00:00,3.233436566465896,5.233436566465896,0.5208133736858312,30.0
2020-01-02 19:00:00,3.2064967636911477,5.206496763691147,0.5208133736858312,30.0
2020-01-02 20:00:00,3.1801531721873038,5.180153172187303,0.5208133736858312,30.0
2020-01-02 21:00:00,3.1543778620993472,5.154377862099347,0.5208133736858312,30.0
2020-01-02 22:00:00,3.1291449980227823,5.129144998022782,0.5208133736858312,30.0
2020-01-02 23:00:00,3.104430678146493,5.1044306781464925,0.5208133736858312,30.0
2020-01-03 00:00:00,3.0802127774348773,5.080212777434877,0.5208133736858312,30.0
2020-01-03 01:00:00,3.0564707966310096,5.056470796631009,0.5208133736858312,30.0
2020-01-03 02:00:00,3.0331857184961097,5.03318571849611,0.5208133736858312,30.0
2020-01-03 03:00:00,3.0103398723323287,5.010339872332328,0.5208133736858312,30.0
2020-01-03 04:00:00,2.9879168074904645,4.987916807490463,0.5208133736858312,30.0
2020-01-03 05:00:00,2.965901176256487,4.965901176256486,0.5208133736858312,30.0
2020-01-03 06:00:00,2.9442786262476592,4.944278626247659,0.5208133736858312,30.0
2020-01-03 07:00:00,2.923035702232895,4.9230357022328946,0.5208133736858312,30.0
2020-01-03 08:00:00,2.902159757120922,4.902159757120922,0.5208133736858312,30.0
2020-01-03 09:00:00,2.8816388717302748,4.881638871730274,0.5208133736858312,30.0
2020-01-03 10:00:00,2.861461782862175,4.8614617828621745,0.5208133736858312,30.0
2020-01-03 11:00:00,2.841617819135491,4.84161781913549,0.5208133736858312,30.0
2020-01-03 12:00:00,2.822096844007102,4.822096844007102,0.5208133736858312,30.0
2020-01-03 13:00:00,2.8028892053858265,4.802889205385826,0.5208133736858312,30.0
2020-01-03 14:00:00,2.783985691249304,4.7839856912493035,0.5208133736858312,30.0
2020-01-03 15:00:00,2.765377490686913,4.765377490686912,0.5208133736858312,30.0
2020-01-03 16:00:00,2.7470561598144756,4.747056159814475,0.5208133736858312,30.0
